Metric,Discrete Graded,Discrete p,Interpolated Graded,Interpolated p,Condition × Timepoint,Interaction p,n_participants,n_obs
Angular Deviation (degrees),-0.5896486607332063,0.19494040249194244,-0.9583524085005904,0.03515690928642767,-0.3687037477673841,0.5665966826058674,22,132
Depth Error (cm),-0.2056402611894149,0.6104802957557274,-0.8438397815573746,0.03659434799353978,-0.6381995203679597,0.26363271686632983,22,132
