Metric,Discrete Graded,Discrete p,Interpolated Graded,Interpolated p,Condition × Timepoint,Interaction p,n_participants,n_obs
Locate (targets/min),0.8616883116883117,5.075758483264734e-13,1.1,0.0,0.2383116883116883,0.1577791986854541,22,132
"Point (selection error, cm)",-1.2359560893651795,0.03956070614337914,-1.666087367178276,0.005526483544468386,-0.43013127781309657,0.6124945474529347,22,132
Composite DA (1–7),0.27272727272727276,2.208751524080807e-08,0.28658008658008655,4.12799217031079e-09,0.013852813852813804,0.840740907812912,22,132
